MD,Match_ID,Player,Squad,#,Nation,Age_Years,Age_Days,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,KP,1/3,PPA,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,PrgR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
7,109,Tomi Horvat,Sturm Graz,19,SVN,25,303,AM,22,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,11,45.5,0,9,0,0,0,57,15,4,5,80.0,1,3,33.3,0,3,0.0,0.0,0,1,0,0,10,1,0,0,0,4,0,1,0,1,0,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,3,5,0,,0,,28,5,0,0,2,0,7,0,0,0,1,0,4,0,0,0,0,4,0,0,
7,109,William Vick,Sturm Graz,15,DEN,21,326,FW,68,0,0,0,0,1,0,0,0,31,3,1,0,0.1,0.1,0.0,0,0,11,18,61.1,0,19,3,4,3,167,20,8,11,72.7,2,4,50.0,1,2,50.0,0.0,0,0,0,0,17,1,1,1,1,1,0,0,0,0,0,11,0,0,2,1,2,0,1,2,50.0,1,0,0,1,4,0,0,1,9,12,12,3,75.0,1,25.0,112,44,1,0,5,1,20,5,0,0,0,0,1,2,0,0,0,4,1,1,50.0
7,110,Aleksandr Golovin,Monaco,10,RUS,28,236,LW,25,0,0,0,0,2,0,1,0,14,0,0,1,0.3,0.3,0.1,4,0,5,11,45.5,1,8,3,2,2,128,73,1,3,33.3,2,3,66.7,2,4,50.0,0.1,2,0,0,0,8,2,0,0,0,4,0,2,1,1,0,5,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,6,10,3,100.0,0,0.0,71,51,0,3,0,0,9,2,0,1,0,1,4,0,0,0,0,3,0,1,0.0
7,110,Breel Embolo,Monaco,36,SUI,27,342,FW,90,0,0,0,0,2,1,0,0,33,2,0,1,0.1,0.1,0.3,3,0,14,21,66.7,4,18,0,3,2,270,99,4,9,44.4,8,9,88.9,2,2,100.0,0.3,2,2,0,0,20,1,0,0,0,0,0,0,0,0,0,14,0,1,1,1,1,0,1,1,100.0,0,0,1,0,2,0,0,0,2,16,15,6,66.7,0,0.0,43,6,0,1,3,5,29,4,0,6,3,0,0,1,0,0,0,2,3,2,60.0
7,110,Christian Mawissa,Monaco,13,FRA,19,278,LB,90,0,0,0,0,0,0,0,0,39,2,1,2,0.0,0.0,0.0,1,0,24,32,75.0,1,14,0,0,0,418,258,10,11,90.9,13,15,86.7,1,5,20.0,0.0,0,0,0,0,28,4,1,0,0,1,3,0,0,0,0,24,0,1,1,1,1,0,1,1,100.0,0,0,2,1,3,3,0,4,20,16,3,0,,0,,48,17,0,0,0,0,23,1,0,1,0,0,1,1,0,0,0,2,1,2,33.3
7,110,Denis Zakaria,Monaco,6,SUI,28,62,DM,78,0,0,0,0,1,0,0,0,33,1,2,1,0.0,0.0,0.0,0,0,17,18,94.4,0,6,0,0,0,250,46,9,9,100.0,8,8,100.0,0,0,,0.0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1,0,1,2,50.0,1,1,0,2,3,4,0,6,15,16,2,1,,0,,27,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,
7,110,Eliesse Ben Seghir,Monaco,7,MAR,19,340,LW,65,0,0,0,0,0,0,0,0,31,0,1,1,0.0,0.0,0.2,2,0,19,24,79.2,3,22,1,2,0,303,61,11,12,91.7,8,10,80.0,0,2,0.0,0.2,2,3,1,0,24,0,0,2,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0.0,1,0,1,1,1,1,0,0,6,13,13,1,0.0,2,100.0,126,54,2,1,0,0,26,7,0,1,2,0,1,0,0,0,0,2,2,1,66.7
7,110,Jordan Teze,Monaco,4,NED,25,113,DM,12,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,1,0,1,3,33.3,0,1,1,1,1,12,7,1,1,100.0,0,2,0.0,0,0,,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,3,1,0,100.0,0,0.0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,110,Lamine Camara,Monaco,15,SEN,21,20,DM,65,0,0,0,0,0,0,0,0,44,1,3,2,0.0,0.0,0.2,4,0,25,33,75.8,2,21,1,1,0,467,105,13,18,72.2,9,10,90.0,3,5,60.0,0.2,2,3,0,0,30,3,1,0,0,3,0,2,0,2,0,25,0,0,1,0,1,0,0,1,0.0,1,0,2,3,4,0,0,0,10,29,7,0,0.0,1,100.0,115,69,3,0,3,1,23,0,0,1,3,0,3,1,0,0,0,8,0,0,
7,110,Lucas Michal,Monaco,41,FRA,19,214,AM,12,0,0,0,0,0,0,0,0,5,0,1,1,0.0,0.0,0.0,1,0,2,3,66.7,0,4,0,0,0,18,1,2,2,100.0,0,0,,0,0,,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,3,3,2,,0,,31,12,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,2,0,3,0.0
