MD,Match_ID,Player,Squad,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
1,2,Andrea Cambiaso,Juventus,27.0,it ITA,LB,24-210,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,0,0,39,49,79.6,3,32,2,1,0,0,0,0,0,2,1,0,0,0,5,0,0,
1,2,Danilo,Juventus,6.0,br BRA,CB,33-064,34,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,0,0,18,22,81.8,1,19,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0
1,2,Douglas Luiz,Juventus,26.0,br BRA,RM,26-131,16,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,3,9,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,100.0
1,2,Dušan Vlahović,Juventus,9.0,rs SRB,FW,24-233,90,0,1,0,0,4,1,0,0,21,0,0,0,0.9,0.9,0.8,3,1,8,12,66.7,4,15,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0
1,2,Federico Gatti,Juventus,4.0,it ITA,CB,26-085,56,0,0,0,0,1,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,24,26,92.3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
1,2,Gleison Bremer,Juventus,3.0,br BRA,CB,27-183,90,0,0,0,0,0,0,0,0,77,4,1,4,0.0,0.0,0.0,1,0,57,61,93.4,2,43,0,0,0,0,0,0,0,0,3,0,0,0,8,2,3,40.0
1,2,Kenan Yıldız,Juventus,10.0,tr TUR,LW,19-136,68,1,0,0,0,2,1,0,0,50,2,2,2,0.1,0.1,0.0,4,1,31,38,81.6,6,36,6,4,0,0,2,3,1,3,2,0,0,0,7,1,0,100.0
1,2,Khéphren Thuram,Juventus,19.0,fr FRA,CM,23-175,34,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,0,0,8,10,80.0,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
1,2,Manuel Locatelli,Juventus,5.0,it ITA,CM,26-253,56,0,0,0,0,0,0,0,0,53,2,0,0,0.0,0.0,0.2,1,0,44,48,91.7,0,37,0,0,0,0,1,1,0,1,2,0,0,0,7,1,0,100.0
1,2,Michele Di Gregorio,Juventus,29.0,it ITA,GK,27-052,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,32,41,78.0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,2,Nicolás González,Juventus,11.0,ar ARG,RW,26-164,68,1,1,0,0,2,1,0,0,44,0,0,0,0.7,0.7,0.2,5,1,23,30,76.7,3,26,1,6,1,0,0,1,0,0,0,0,0,0,2,3,0,100.0
1,2,Nicolò Fagioli,Juventus,21.0,it ITA,LW,23-218,22,0,0,0,0,1,1,0,0,11,0,0,0,0.1,0.1,0.2,4,0,9,10,90.0,1,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,Pierre Kalulu,Juventus,15.0,fr FRA,RB,24-104,90,0,0,0,0,0,0,0,0,75,0,1,4,0.0,0.0,0.0,0,0,62,67,92.5,2,41,2,2,2,0,0,0,0,1,0,0,0,0,6,1,2,33.3
1,2,Teun Koopmeiners,Juventus,8.0,nl NED,LM,26-202,90,0,0,0,0,2,0,0,0,57,2,0,1,0.2,0.2,1.1,6,0,36,47,76.6,5,35,3,1,0,0,2,1,0,5,2,0,0,0,2,2,0,100.0
1,2,Timothy Weah,Juventus,22.0,us USA,RW,24-208,22,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,7,11,63.6,1,11,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,
1,2,Weston McKennie,Juventus,16.0,us USA,RM,26-020,74,1,0,0,0,2,2,0,0,35,1,0,1,0.9,0.9,0.0,1,0,22,25,88.0,3,23,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0.0
1,2,Adamo Nagalo,PSV Eindhoven,39.0,bf BFA,RB,21-361,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,Guus Til,PSV Eindhoven,20.0,nl NED,RM,26-270,61,0,0,0,0,2,0,0,0,26,1,0,0,0.4,0.4,0.0,1,0,20,22,90.9,3,13,2,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0.0
1,2,Ismael Saibari,PSV Eindhoven,34.0,ma MAR,LM,23-233,29,1,0,0,0,4,4,0,0,19,0,0,0,0.5,0.5,0.0,0,0,9,13,69.2,1,11,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0.0
1,2,Jerdy Schouten,PSV Eindhoven,22.0,nl NED,CM,27-249,90,0,0,0,0,0,0,0,0,65,1,1,0,0.0,0.0,0.0,3,0,56,62,90.3,7,26,0,0,0,0,2,2,0,0,0,0,0,0,6,0,2,0.0
1,2,Joel Drommel,PSV Eindhoven,16.0,nl NED,GK,27-306,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,37,45,82.2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,2,Joey Veerman,PSV Eindhoven,23.0,nl NED,LM,25-303,61,0,0,0,0,2,1,0,0,54,0,1,1,0.0,0.0,0.1,4,0,40,49,81.6,8,24,0,1,1,0,0,0,0,5,0,0,0,0,6,0,0,
1,2,Johan Bakayoko,PSV Eindhoven,11.0,be BEL,RW,21-150,90,0,1,0,0,2,0,0,0,61,0,0,1,0.1,0.1,0.4,4,1,38,51,74.5,4,50,12,4,1,0,0,0,1,9,0,0,0,0,2,0,0,
1,2,Luuk de Jong,PSV Eindhoven,9.0,nl NED,FW,34-021,76,0,0,0,0,2,0,0,0,34,1,0,0,0.1,0.1,0.0,2,0,19,29,65.5,0,12,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,75.0
1,2,Malik Tillman,PSV Eindhoven,7.0,us USA,LW,22-112,90,0,0,0,0,0,0,0,0,43,2,1,0,0.0,0.0,0.1,2,0,32,36,88.9,4,21,0,2,1,0,0,1,0,1,1,0,0,0,4,1,1,50.0
1,2,Matteo Dams,PSV Eindhoven,32.0,be BEL,LB,20-192,76,0,0,0,0,0,0,0,0,44,5,1,2,0.0,0.0,0.0,1,0,31,35,88.6,1,23,0,0,0,0,1,0,0,2,4,0,0,0,2,0,3,0.0
1,2,Mauro Júnior,PSV Eindhoven,17.0,br BRA,LB,25-134,14,0,0,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,9,1,1,0,0,0,1,0,0,1,0,0,0,3,0,0,
